#wave      u        g       r       i     z
0.95303 0.00000 0.00000 0.00000 0.00000 0.02460
0.95717 0.00000 0.00000 0.00000 0.00000 0.02493
0.96132 0.00000 0.00000 0.00000 0.00000 0.02603
0.96546 0.00000 0.00000 0.00000 0.00000 0.02739
0.96961 0.00000 0.00000 0.00000 0.00000 0.02739
0.97375 0.00000 0.00000 0.00000 0.00000 0.02472
0.97790 0.00000 0.00000 0.00000 0.00000 0.02274
0.98205 0.00000 0.00000 0.00000 0.00000 0.02183
0.98619 0.00000 0.00000 0.00000 0.00000 0.02047
0.99034 0.00000 0.00000 0.00000 0.00000 0.01838
0.99448 0.00000 0.00000 0.00000 0.00000 0.01645
0.99863 0.00000 0.00000 0.00000 0.00000 0.01462
1.00277 0.00000 0.00000 0.00000 0.00000 0.01289
1.00692 0.00000 0.00000 0.00000 0.00000 0.01123
1.01107 0.00000 0.00000 0.00000 0.00000 0.00972
1.01521 0.00000 0.00000 0.00000 0.00000 0.00839
1.01936 0.00000 0.00000 0.00000 0.00000 0.00712
1.02350 0.00000 0.00000 0.00000 0.00000 0.00598
1.02765 0.00000 0.00000 0.00000 0.00000 0.00507
1.03179 0.00000 0.00000 0.00000 0.00000 0.00429
1.03594 0.00000 0.00000 0.00000 0.00000 0.00363
1.04009 0.00000 0.00000 0.00000 0.00000 0.00305
1.04423 0.00000 0.00000 0.00000 0.00000 0.00260
1.04838 0.00000 0.00000 0.00000 0.00000 0.00227
1.05252 0.00000 0.00000 0.00000 0.00000 0.00194
1.05667 0.00000 0.00000 0.00000 0.00000 0.00175
1.06081 0.00000 0.00000 0.00000 0.00000 0.00159
1.06496 0.00000 0.00000 0.00000 0.00000 0.00142
1.06911 0.00000 0.00000 0.00000 0.00000 0.00126
1.07325 0.00000 0.00000 0.00000 0.00000 0.00109
1.07740 0.00000 0.00000 0.00000 0.00000 0.00092
1.08154 0.00000 0.00000 0.00000 0.00000 0.00080
1.08569 0.00000 0.00000 0.00000 0.00000 0.00069
1.08983 0.00000 0.00000 0.00000 0.00000 0.00060
1.09398 0.00000 0.00000 0.00000 0.00000 0.00056
1.09813 0.00000 0.00000 0.00000 0.00000 0.00049
1.10227 0.00000 0.00000 0.00000 0.00000 0.00040
1.10642 0.00000 0.00000 0.00000 0.00000 0.00030
1.11056 0.00000 0.00000 0.00000 0.00000 0.00020
1.11471 0.00000 0.00000 0.00000 0.00000 0.00013
1.11885 0.00000 0.00000 0.00000 0.00000 0.00007
1.12300 0.00000 0.00000 0.00000 0.00000 0.00000
