# Theoretical transmission filter for J-PLUS filter g_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 4750
#    W1 (Angstroms): 1250
#    FWHM (Angstroms): 1500
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3920.5 0.1638 0.1479
3920.6 0.1642 0.1482
3920.7 0.1645 0.1486
3920.8 0.1649 0.1489
3920.9 0.1652 0.1492
3921.0 0.1656 0.1496
3921.1 0.1660 0.1499
3921.2 0.1663 0.1502
3921.3 0.1667 0.1506
3921.4 0.1670 0.1509
3921.5 0.1674 0.1512
3921.6 0.1678 0.1515
3921.7 0.1681 0.1519
3921.8 0.1685 0.1522
3921.9 0.1688 0.1525
3922.0 0.1692 0.1529
3922.1 0.1696 0.1532
3922.2 0.1699 0.1535
3922.3 0.1703 0.1539
3922.4 0.1706 0.1542
3922.5 0.1710 0.1545
3922.6 0.1714 0.1549
3922.7 0.1717 0.1552
3922.8 0.1721 0.1555
3922.9 0.1724 0.1558
3923.0 0.1728 0.1562
3923.1 0.1732 0.1565
3923.2 0.1735 0.1568
3923.3 0.1739 0.1572
3923.4 0.1742 0.1575
3923.5 0.1746 0.1578
3923.6 0.1750 0.1582
3923.7 0.1753 0.1585
3923.8 0.1757 0.1588
3923.9 0.1760 0.1592
3924.0 0.1764 0.1595
3924.1 0.1768 0.1598
3924.2 0.1771 0.1602
3924.3 0.1775 0.1605
3924.4 0.1778 0.1608
3924.5 0.1782 0.1612
3924.6 0.1786 0.1615
3924.7 0.1789 0.1618
3924.8 0.1793 0.1621
3924.9 0.1796 0.1625
3925.0 0.1800 0.1628
3925.1 0.1804 0.1631
3925.2 0.1807 0.1635
3925.3 0.1811 0.1638
3925.4 0.1814 0.1641
3925.5 0.1818 0.1645
3925.6 0.1822 0.1648
3925.7 0.1825 0.1651
3925.8 0.1829 0.1655
3925.9 0.1832 0.1658
3926.0 0.1836 0.1661
3926.1 0.1840 0.1665
3926.2 0.1843 0.1668
3926.3 0.1847 0.1671
3926.4 0.1850 0.1675
3926.5 0.1854 0.1678
3926.6 0.1858 0.1681
3926.7 0.1861 0.1685
3926.8 0.1865 0.1688
3926.9 0.1868 0.1691
3927.0 0.1872 0.1694
3927.1 0.1876 0.1698
3927.2 0.1879 0.1701
3927.3 0.1883 0.1704
3927.4 0.1886 0.1708
3927.5 0.1890 0.1711
3927.6 0.1894 0.1714
3927.7 0.1897 0.1718
3927.8 0.1901 0.1721
3927.9 0.1904 0.1724
3928.0 0.1908 0.1728
3928.1 0.1912 0.1731
3928.2 0.1915 0.1734
3928.3 0.1919 0.1738
3928.4 0.1922 0.1741
3928.5 0.1926 0.1744
3928.6 0.1930 0.1748
3928.7 0.1933 0.1751
3928.8 0.1937 0.1754
3928.9 0.1940 0.1758
3929.0 0.1944 0.1761
3929.1 0.1948 0.1764
3929.2 0.1951 0.1768
3929.3 0.1955 0.1771
3929.4 0.1958 0.1774
3929.5 0.1962 0.1778
3929.6 0.1966 0.1781
3929.7 0.1969 0.1784
3929.8 0.1973 0.1788
3929.9 0.1976 0.1791
