# Theoretical transmission filter for J-PLUS filter r_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 6250
#    W1 (Angstroms): 1250
#    FWHM (Angstroms): 1500
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
5419.5 0.1602 0.1474
5419.6 0.1606 0.1477
5419.7 0.1609 0.1480
5419.8 0.1613 0.1484
5419.9 0.1616 0.1487
5420.0 0.1620 0.1490
5420.1 0.1624 0.1494
5420.2 0.1627 0.1497
5420.3 0.1631 0.1500
5420.4 0.1634 0.1504
5420.5 0.1638 0.1507
5420.6 0.1642 0.1510
5420.7 0.1645 0.1514
5420.8 0.1649 0.1517
5420.9 0.1652 0.1520
5421.0 0.1656 0.1524
5421.1 0.1660 0.1527
5421.2 0.1663 0.1530
5421.3 0.1667 0.1533
5421.4 0.1670 0.1537
5421.5 0.1674 0.1540
5421.6 0.1678 0.1543
5421.7 0.1681 0.1547
5421.8 0.1685 0.1550
5421.9 0.1688 0.1553
5422.0 0.1692 0.1557
5422.1 0.1696 0.1560
5422.2 0.1699 0.1563
5422.3 0.1703 0.1567
5422.4 0.1706 0.1570
5422.5 0.1710 0.1573
5422.6 0.1714 0.1577
5422.7 0.1717 0.1580
5422.8 0.1721 0.1583
5422.9 0.1724 0.1586
5423.0 0.1728 0.1590
5423.1 0.1732 0.1593
5423.2 0.1735 0.1596
5423.3 0.1739 0.1600
5423.4 0.1742 0.1603
5423.5 0.1746 0.1606
5423.6 0.1750 0.1610
5423.7 0.1753 0.1613
5423.8 0.1757 0.1616
5423.9 0.1760 0.1620
5424.0 0.1764 0.1623
5424.1 0.1768 0.1626
5424.2 0.1771 0.1630
5424.3 0.1775 0.1633
5424.4 0.1778 0.1636
5424.5 0.1782 0.1639
5424.6 0.1786 0.1643
5424.7 0.1789 0.1646
5424.8 0.1793 0.1649
5424.9 0.1796 0.1653
5425.0 0.1800 0.1656
5425.1 0.1804 0.1659
5425.2 0.1807 0.1663
5425.3 0.1811 0.1666
5425.4 0.1814 0.1669
5425.5 0.1818 0.1673
5425.6 0.1822 0.1676
5425.7 0.1825 0.1679
5425.8 0.1829 0.1682
5425.9 0.1832 0.1686
5426.0 0.1836 0.1689
5426.1 0.1840 0.1692
5426.2 0.1843 0.1696
5426.3 0.1847 0.1699
5426.4 0.1850 0.1702
5426.5 0.1854 0.1706
5426.6 0.1858 0.1709
5426.7 0.1861 0.1712
5426.8 0.1865 0.1716
5426.9 0.1868 0.1719
5427.0 0.1872 0.1722
5427.1 0.1876 0.1726
5427.2 0.1879 0.1729
5427.3 0.1883 0.1732
5427.4 0.1886 0.1735
5427.5 0.1890 0.1739
5427.6 0.1894 0.1742
5427.7 0.1897 0.1745
5427.8 0.1901 0.1749
